stock_num,make,model,year,color,url,price
19913071,Toyota,Corolla,2015,Red,https://img2.carmax.com/img/vehicles/19913071/1.jpg?width=800,14715
20319754,Hyundai,Sonata,2018,Black,https://img2.carmax.com/img/vehicles/20319754/1.jpg?width=800,14102
20322507,Kia,Optima,2018,Gray,https://img2.carmax.com/img/vehicles/20322507/1.jpg?width=800,2644
20322520,Kia,Optima,2018,Black,https://img2.carmax.com/img/vehicles/20322520/1.jpg?width=800,11016
20196030,Nissan,Sentra,2019,White,https://img2.carmax.com/img/vehicles/20196030/1.jpg?width=800,7377
20196050,Nissan,Sentra,2019,Black,https://img2.carmax.com/img/vehicles/20196050/1.jpg?width=800,6988
19662328,Mazda,Mazda3,2016,Black,https://img2.carmax.com/img/vehicles/19662328/1.jpg?width=800,7497
19913278,Ford,Taurus,2017,Black,https://img2.carmax.com/img/vehicles/19913278/1.jpg?width=800,12478
19912988,Chevrolet,Malibu,2016,Black,https://img2.carmax.com/img/vehicles/19912988/1.jpg?width=800,10529
20214390,Toyota,Camry,2018,Black,https://img2.carmax.com/img/vehicles/20214390/1.jpg?width=800,14538
19912880,Toyota,Corolla,2016,White,https://img2.carmax.com/img/vehicles/19912880/1.jpg?width=800,9314
19912965,Honda,Accord,2020,White,https://img2.carmax.com/img/vehicles/19912965/1.jpg?width=800,9769
19662236,Honda,Civic,2015,Silver,https://img2.carmax.com/img/vehicles/19662236/1.jpg?width=800,4589
19913309,Dodge,Dart,2013,Silver,https://img2.carmax.com/img/vehicles/19913309/1.jpg?width=800,13095
19662337,Nissan,Sentra,2012,Gray,https://img2.carmax.com/img/vehicles/19662337/1.jpg?width=800,12296
19662464,Toyota,Corolla,2009,White,https://img2.carmax.com/img/vehicles/19662464/1.jpg?width=800,12689
19912516,Nissan,Rogue,2016,Black,https://img2.carmax.com/img/vehicles/19912516/1.jpg?width=800,9934
19913075,Toyota,Highlander,2019,Gray,https://img2.carmax.com/img/vehicles/19913075/1.jpg?width=800,3133
20196317,Chevrolet,Sonic,2016,White,https://img2.carmax.com/img/vehicles/20196317/1.jpg?width=800,8992
19662161,Chevrolet,Silverado,2017,White,https://img2.carmax.com/img/vehicles/19662161/1.jpg?width=800,9669
20095125,BMW,328,2015,Black,https://img2.carmax.com/img/vehicles/20095125/1.jpg?width=800,11493
19912842,Honda,Accord,2019,Gray,https://img2.carmax.com/img/vehicles/19912842/1.jpg?width=800,11143
19095578,Toyota,RAV4,2016,Black,https://img2.carmax.com/img/vehicles/19095578/1.jpg?width=800,4987
19912887,Ford,F150,2017,White,https://img2.carmax.com/img/vehicles/19912887/1.jpg?width=800,14116
19847708,Jeep,Grand,2017,Silver,https://img2.carmax.com/img/vehicles/19847708/1.jpg?width=800,6604
20279317,Jeep,Cherokee,2019,Black,https://img2.carmax.com/img/vehicles/20279317/1.jpg?width=800,7324
20196626,Toyota,Highlander,2016,Black,https://img2.carmax.com/img/vehicles/20196626/1.jpg?width=800,6159
19912797,Toyota,RAV4,2016,Gray,https://img2.carmax.com/img/vehicles/19912797/1.jpg?width=800,2740
19156475,Chevrolet,Cruze,2016,Black,https://img2.carmax.com/img/vehicles/19156475/1.jpg?width=800,10523
20220199,Jeep,Wrangler,2017,White,https://img2.carmax.com/img/vehicles/20220199/1.jpg?width=800,2324
19156597,Jeep,Cherokee,2017,Red,https://img2.carmax.com/img/vehicles/19156597/1.jpg?width=800,8178
19912741,Ford,Explorer,2015,Gray,https://img2.carmax.com/img/vehicles/19912741/1.jpg?width=800,6384
20196239,Honda,Odyssey,2020,Gray,https://img2.carmax.com/img/vehicles/20196239/1.jpg?width=800,10556
19912861,Honda,HR-V,2016,Black,https://img2.carmax.com/img/vehicles/19912861/1.jpg?width=800,1685
19912991,Toyota,RAV4,2015,Black,https://img2.carmax.com/img/vehicles/19912991/1.jpg?width=800,3557
19882956,Chevrolet,Tahoe,2020,Black,https://img2.carmax.com/img/vehicles/19882956/1.jpg?width=800,12310
19912618,BMW,320,2014,Blue,https://img2.carmax.com/img/vehicles/19912618/1.jpg?width=800,9680
19662073,Chevrolet,Silverado,2015,White,https://img2.carmax.com/img/vehicles/19662073/1.jpg?width=800,7699
18755882,Subaru,Forester,2012,White,https://img2.carmax.com/img/vehicles/18755882/1.jpg?width=800,9265
19424826,Toyota,Tacoma,2014,Red,https://img2.carmax.com/img/vehicles/19424826/1.jpg?width=800,2289
19912821,Toyota,Tacoma,2014,Silver,https://img2.carmax.com/img/vehicles/19912821/1.jpg?width=800,6107
19156553,Honda,CR-V,2014,Brown,https://img2.carmax.com/img/vehicles/19156553/1.jpg?width=800,3883
19662204,Subaru,Impreza,2010,Blue,https://img2.carmax.com/img/vehicles/19662204/1.jpg?width=800,6464
20196303,Lexus,ES,2010,Red,https://img2.carmax.com/img/vehicles/20196303/1.jpg?width=800,5275
19555596,Nissan,Juke,2012,Silver,https://img2.carmax.com/img/vehicles/19555596/1.jpg?width=800,6778
19912946,Hyundai,Santa,2009,Green,https://img2.carmax.com/img/vehicles/19912946/1.jpg?width=800,7247
